Country or other education system,Percent of total instructional hours dedicated to Mathematics,Percent of total instructional hours dedicated to Science,
Armenia,16,6,
Australia,23,6,
Austria,18,12,
Azerbaijan,18,8,
Bahrain,14,9,
Chile,19,13,
Chinese Taipei-CHN,12,9,
Croatia,18,13,
Czech Republic,21,8,
Denmark,15,7,
England-GBR,19,8,
Finland   ,18,13,
Georgia,21,16,
Germany ,19,8,
Hong Kong-CHN ,15,8,
Hungary  ,20,10,
Islamic Republic of Iran  ,20,14,
Ireland  ,18,7,
Italy  ,20,7,
Japan  ,17,10,
Kazakhstan,18,8,
Republic of  Korea,15,11,
Kuwait,13,10,
Lithuania  ,21,9,
Malta  ,21,4,
Morocco,17,5,
Netherlands,18,4,
New Zealand ,18,6,
Northern Ireland-GBR,24,8,
Norway,19,7,
Oman  ,17,12,
Poland  ,21,8,
Portugal  ,27,17,
Qatar,17,13,
Romania  ,19,7,
Russian Federation  ,16,8,
Saudi Arabia  ,15,8,
Serbia,20,10,
Singapore,21,9,
Slovak Republic,19,13,
Slovenia  ,25,15,
Spain  ,19,16,
Sweden  ,17,9,
Thailand  ,14,9,
Tunisia  ,19,10,
Turkey  ,15,11,
United Arab Emirates  ,15,11,
United States,19,10,
Yemen,16,11,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
 ,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
